﻿url,posttime,text,crawled_time,url,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/SethEducationFoundation/posts/2806867612659338","1569582918","","1569735774","","","","","",""
"https://www.facebook.com/SethEducationFoundation/posts/2729264887086278","1566266565","","1569735774","","","","","",""
"https://www.facebook.com/SethEducationFoundation/posts/2761447830534650:0","1567675723","【活動】2019年12月國際賽斯日-台中團～★超渡你自己★
一年一度的賽斯大典來啦，中部的學員要報名要快呦!讓我們一起超度自己吧! 
█ 活動時間與主題： 
12月13-14日榮譽村民工作坊─ 主講人：許添盛 醫師 
12月14-15日超渡你自己大典 
█報名日期:即日起~10/05止(額滿為止呦!) 
█ █ █ 報名網址： https://reurl.cc/gvv96R","1569735774","","","","","",""
"https://www.facebook.com/SethEducationFoundation/posts/2794022660610500","1569064652","自我覺察工作坊系列~3 情緒的真面目
一直以來以為被稱「情緒」二字名詞產生好久的誤解⋯⋯
原來就像天有陰晴，而情緒有喜怒哀樂是正常現象。
透過王醫師的自我覺察工作坊～
了解「情緒的真面目」的觀念並學習運用，
小小心得
當情緒來時臣服接受它，並讓它自然流動，進而靜心觀照內在情緒發生的原因，找到源頭改變信念......。","1569735775","","","","","",""
"https://www.facebook.com/SethEducationFoundation/posts/2749842681695165:0","1567166410","【課程】2019年第十期自發性舞蹈系列課程-王玲如老師
█ 講 師：王玲如 老師
█ 時 間：2019年9月5日起共10堂課程，週四19:00-21:00 (詳見教育中心行事曆)
█ 地 點：賽斯教育中心 (臺中市北區崇德路一段631號10樓之一)
█ 報名方式：線上報名(https://reurl.cc/6gVzVb)
█ 名 額：限制30名，額滿為止。
【課程】2019心靈探險家工作坊-王玲如老師
來自心海的消息-- 情緒
█ 講 師：王玲如 老師
█ 主 題：自發性舞蹈 --心靈探險家工作坊
《來自心海的消息-- 情緒 》
█ 時 間：2019年11月21日，週四14:30-16:30 (詳見教育中心行事曆)
█ 地 點：賽斯教育中心 (臺中市北區崇德路一段631號10樓之一)
█ 參加對象：限制為參加過整期課程的舊學員
█ 名 額：限制30名，額滿為止。
█ 聯絡電話：04-22364612
█ 賽斯教育中心E-mail：edu10731@seth.org.tw
█ 授課講師簡介──王玲如
賽斯教育基金會一級輔導師；帶領《許醫師諮商現場》與《神奇之道》讀書會、自發性舞蹈工作坊、癌友樂活團體輔導、心靈陪談服務、台灣海寧格機構認證系統排列師、NGH催眠師。
玲如老師是個喜歡探索自己生命風景的心靈舞者，也是個不斷學習與創造分享的自由工作者。她可以深層同理、支持鼓勵，耐心陪伴你看見自己的力量。是個能覺察也有心靈溫度的老師。
※活動資訊如有異動，以賽斯教育中心網站公告為主，不便之處敬請見諒！","1569735775","","","","","",""
"https://www.facebook.com/SethEducationFoundation/posts/2664348780244556","1563265999","全球一起來冥想，把愛傳出去♥️
教育中心揪團一起走 🚌🚌🚌
一起參與~萬人冥想活動~ 
時間緊迫，要報名的同學請盡快至教育中心報名。
搭車報名連結:https://reurl.cc/DVxgR (三台遊覽車已額滿)

 活動時間：2019年08月18日 (日) 19:00-20:00 (18:00開放進場)
報名時間：即日起自08/15(四)，前2000名送涼感巾，送完為止。
自行前往報名方式：
1.中部地區學員請至教育中心報名，報名完成者給予兌換卷，活動當天依此兌換卷至報到處領取紀念品。

 🚌搭車報名方式:
1.填寫google表單(https://reurl.cc/DVxgR)
2.遊覽車費用全免,其他費用需自付
3.上車地點:台中 一站 苗栗一站 (上車地點會再公告)
4.中途安排一至二處景點旅遊
5.保險費用實報實收

 活動地點：新北市市民廣場
地圖網址：https://reurl.cc/YaZ6X
活動注意事項：
1.請參加者自備手機及耳機，採現場直播及全球轉播。
2.本活動不提供寄物服務，敬請便裝參加活動，不便之處尚請見諒。請勿攜帶貴重物品、電子產品及易碎物品，若有遺失或損壞，主辦單位概不負責。
3.本活動如有任何變更或補充事項，將即時公佈於基金會官網、全省各辦事處FB及LINE@，並以主辦單位公告為準。

 財團法人新時代賽斯教育基金會 教育中心
Email：edu10731@seth.org.tw
電話：04-22364612 or 0978-963119
地址：台中市北區崇德路一段631號10樓之1
LINE ID: yellowck 提斯瑪雅之公務","1569735775","","","","","",""
"https://www.facebook.com/SethEducationFoundation/posts/2718392578173509","1565772441","","1569735775","","","","","",""
"https://www.facebook.com/SethEducationFoundation/posts/2749362461743187","1567143290","","1569735775","","","","","",""
"https://www.facebook.com/SethEducationFoundation/posts/2722690374410396","1565965884","","1569735775","","","","","",""
"https://www.facebook.com/SethEducationFoundation/posts/2600890496590385","1560400029","","1569735775","","","","","",""
